Chapter,Topic,Question,Equation,Answer
Carboxylic Acids,Carboxylic Acid Formation,Explain detailed mechanism of Grignard reaction with CO2.,RMgX + CO2 → R–COO−MgX → R–COOH,Carbanion attacks CO2 forming magnesium carboxylate which on hydrolysis yields acid.
Carboxylic Acids,Carboxylic Acid Properties,Explain energy profile of acid dissociation.,R–COOH → transition → R–COO− + H+,Energy required for bond breaking is compensated by stability of conjugate base.
Redox Reactions,Equivalent Concept,Why does normality depend on reaction?,n-factor dependence,Equivalent concentration changes with reaction pathway.
Thermodynamics,Basic Concepts,What is sign convention for heat released?,q negative,Heat released by system is negative.
Equilibrium,Hydrolysis,Derive hydrolysis constant for salt of weak acid and strong base.,Kh = Kw/Ka,"For a salt like CH3COONa, the anion reacts with water to form CH3COOH and OH−. Writing equilibrium expression and combining with Ka expression gives Kh = Kw/Ka. This shows hydrolysis increases when Ka is small (weak acid)."
Haloalkanes and Haloarenes,Haloarene Concepts,What is nucleophilic aromatic substitution?,Ar–X + Nu− → Ar–Nu,In special conditions halogen in haloarene is replaced by nucleophile.
Structure of Atom,Orbitals,What are angular nodes?,planar nodes,Angular nodes depend on orbital shape.
Amines,Amine Reactions,Explain carbylamine reaction mechanism.,R–NH2 + CHCl3 + KOH → R–NC + KCl + H2O,Primary amines react with chloroform forming isocyanide through intermediate dichlorocarbene. This reaction is specific for primary amines.
Redox Reactions,Basic Concepts,What is oxidation in terms of oxygen addition?,addition of oxygen,Oxidation may involve addition of oxygen to a substance.
Carboxylic Acids,Carboxylic Acid Formation,How are carboxylic acids formed from acyl derivatives?,RCOX + H2O → R–COOH + HX,Acyl derivatives like acid chlorides hydrolyze to form carboxylic acids.
Equilibrium,Acid–Base Theory,What is Arrhenius acid?,HCl → H+ + Cl−,"According to Arrhenius, an acid is a substance that increases the concentration of H⁺ ions in aqueous solution. For example, HCl dissociates in water to produce hydrogen ions."
Haloalkanes and Haloarenes,Haloalkane Formation,Explain Hunsdiecker reaction mechanism.,RCOOAg + Br2 → R–Br + CO2 + AgBr,Involves radical mechanism where decarboxylation produces alkyl radical which reacts with halogen.
Alcohols Phenols Ethers,Alcohol Tests,A compound gives both Lucas test and iodoform test. Suggest possible structure.,CH3CHOHCH3 + I2 + NaOH → CHI3 + products,The compound is a secondary alcohol with CH3–CHOH group such as isopropanol.
Equilibrium,Basic Concepts,Explain effect of pressure on K.,K independent of pressure,"Equilibrium constant depends only on temperature, not pressure."
Thermodynamics,Thermochemistry,Why is thermochemistry important?,energy changes in reactions,"It explains fuels, metabolism, and industrial processes."
Thermodynamics,Thermodynamic Properties,What is volume?,space occupied,Volume is amount of space occupied by system.
States of Matter,Gas Properties,Why are gas molecules assumed negligible in volume?,actual molecular volume very small,Molecular size is tiny compared to container size.
Alcohols Phenols Ethers,Ether Reactions,Why is HI more reactive than HCl in ether cleavage?,R–O–R' + HI → RI + R'OH,HI is stronger acid and iodide is better nucleophile compared to chloride.
Carboxylic Acids,Carboxylic Acid Reactions,Explain energy profile of nucleophilic substitution.,RCOX → transition state → product,Reaction proceeds via high-energy intermediate followed by stable product formation.
Amines,Amine Formation,Explain why tertiary halides do not give amines via SN2.,R3C–X + NH3 → no SN2 reaction,"Tertiary halides are sterically hindered preventing backside attack required for SN2 mechanism. Instead, elimination or SN1 reactions dominate."
Physical Chemistry,Atomic Mass,What is significance of isotopic abundance in atomic mass calculation?,weighted average contribution,Each isotope contributes according to its natural abundance.
Haloalkanes and Haloarenes,Haloarene Formation,Explain resonance stabilization of σ-complex.,C6H6 + X+ → σ-complex,The arenium ion formed is stabilized by delocalization of positive charge over three carbon atoms. This resonance stabilization lowers activation energy of electrophilic substitution.
Thermodynamics,Thermochemistry,What is enthalpy of formation?,ΔHf°,Measured in standard state
Biomolecules,Nucleic Acids,What is a nucleotide?,base + sugar + phosphate → nucleotide,"A nucleotide consists of a nitrogenous base, pentose sugar, and phosphate group."
Polymers,Polymer Concepts,What is number average molecular mass?,Mn,Mn is average molecular mass calculated based on number of molecules.
Hydrocarbons,Alkane Concepts,Why is chair cyclohexane more stable than boat cyclohexane?,chair < boat energy,Chair conformation has minimal torsional and steric strain whereas boat form suffers from eclipsing and flagpole interactions.
Chemistry in Everyday Life,Cleansing Agents,Explain classification of cleansing agents.,anionic/cationic/non-ionic,"Based on charge of head group, cleansing agents are classified into different types."
Redox Reactions,Redox Reactions,Why are nonmetals often oxidizing agents?,electron gain tendency,Nonmetals readily gain electrons because of high electronegativity.
Equilibrium,Buffer Solutions,Why strong acid cannot form buffer?,HCl → complete dissociation,Strong acids completely dissociate and do not establish equilibrium required for buffer action.
Haloalkanes and Haloarenes,Haloalkane Formation,Why SOCl2 is preferred reagent?,R–OH + SOCl2 → R–Cl + SO2 + HCl,"Gaseous byproducts escape, giving pure alkyl halide without contamination."
Alcohols Phenols Ethers,Alcohol Properties,Why do alcohols show weak acidic nature?,2ROH + 2Na → 2RONa + H2,"Alcohols can donate a proton from –OH group, forming alkoxide ions, but they are weak acids compared to water and phenol."
Alcohols Phenols Ethers,Phenol Reactions,Explain why phenol reacts faster with electrophiles but slower with nucleophiles.,C6H5OH + E+ → fast ; C6H5OH + Nu− → no reaction,"Electron-rich ring favors attack by electrophiles, increasing reaction rate. However, nucleophiles are repelled due to high electron density, making such reactions unfavorable."
Haloalkanes and Haloarenes,Haloalkane Reactions,Why primary haloalkanes favor SN2?,RCH2–X + Nu− → product,Primary haloalkanes have less steric hindrance allowing backside attack.
Thermodynamics,First Law,Symbol for heat?,q,Heat exchanged by system is represented by q.
Chemistry in Everyday Life,Soaps and Detergents,What are soaps?,RCOONa → soap,Cleaning agents
Thermodynamics,Work,Why is irreversible work smaller?,energy dissipated,Friction and rapid changes reduce useful work.
Redox Reactions,Equivalent Concept,Why does KMnO4 show different n-factors in different media?,different reduction products,Manganese reduces to different oxidation states depending on medium.
Alcohols Phenols Ethers,Phenol Properties,Why does presence of multiple –NO2 groups increase acidity drastically?,C6H3(NO2)3OH ⇌ C6H3(NO2)3O⁻ + H⁺,"Multiple electron-withdrawing groups strongly stabilize the phenoxide ion through both inductive and resonance effects, greatly increasing acidity (e.g., picric acid)."
Hydrocarbons,Alkyne Concepts,Why are alkynes unsaturated compounds?,C≡C contains π-bonds,The presence of two pi bonds allows alkynes to undergo addition reactions.
Chemistry in Everyday Life,Drugs,Identify type of drug: Penicillin.,bacteria → inhibited,Penicillin is a broad-spectrum antibiotic that inhibits bacterial cell wall synthesis.
Carboxylic Acids,Carboxylic Acid Formation,Choose method to increase carbon chain by one.,R–X → R–CN → R–COOH,Nitrile formation followed by hydrolysis increases carbon chain by one carbon.
Haloalkanes and Haloarenes,Haloalkane Formation,Why tertiary alcohol reacts faster with HX?,R3C–OH + HX → R3C–X + H2O,"Tertiary alcohol forms stable carbocation, making substitution faster."
Thermodynamics,Work,Net work in cyclic process?,area under PV curve,Work equals enclosed area on PV diagram.
States of Matter,Liquid State,Explain dynamic equilibrium in evaporation.,evaporation rate equals condensation rate,At equilibrium both processes occur at equal rates.
Thermodynamics,Enthalpy,Why does ΔH differ from ΔU in gases?,expansion work involved,Gases perform pressure-volume work.
Haloalkanes and Haloarenes,Haloarene Concepts,Explain deactivating nature of halogens.,−I effect,Halogens withdraw electron density inductively reducing overall reactivity of benzene ring.
Biomolecules,Vitamins,Explain redox mechanism of FAD/FADH2.,FAD + 2e− + 2H+ ⇌ FADH2,"FAD accepts two electrons and two protons forming FADH₂, functioning as electron carrier in metabolic pathways."
Hydrocarbons,Alkyne Concepts,Why are lower alkynes weakly soluble in water?,weak induced dipole interactions,Small alkynes possess slight solubility because of weak interactions with water molecules.
Polymers,Polymer Formation,Why are catalysts used in polymerization?,increase reaction rate,Catalysts help initiate and accelerate polymer formation.
Structure of Atom,Orbitals,Why do electrons occupy lower orbitals first?,minimum energy principle,System tends toward lowest energy state.
Equilibrium,Basic Concepts,Explain equilibrium shift using Le Chatelier principle.,system disturbed → shift,"Equilibrium shifts to oppose changes in concentration, pressure, or temperature."
Aldehydes and Ketones,Ketone Tests,A compound gives multiple derivative tests but no oxidation test. Identify compound class.,R–CO–R' → derivatives,This confirms ketone since it forms derivatives but resists oxidation unlike aldehydes.
States of Matter,Gas Laws,Explain significance of gas constant R.,proportionality constant,R connects macroscopic gas properties.
Equilibrium,Chemical Equilibrium,What is Le Chatelier principle?,system disturbed → shift,System shifts to counteract external change and restore equilibrium.
Redox Reactions,Equivalent Concept,What is relationship between equivalents and moles?,Equivalents = moles × n-factor,Number of equivalents depends on electron or proton exchange.
Aldehydes and Ketones,Ketone Formation,How are ketones prepared from Grignard reagent and nitriles?,R–CN + RMgX → R–CO–R',Grignard reagent reacts with nitrile forming ketone after hydrolysis.
Alcohols Phenols Ethers,Alcohol Reactions,What is the mechanism of dehydration of alcohol to alkene?,"CH3CH2OH → CH2=CH2 + H2O (conc. H2SO4, heat)","Dehydration proceeds via elimination mechanism (E1 for secondary/tertiary alcohols), where protonation of –OH occurs followed by loss of water and formation of alkene."
Alcohols Phenols Ethers,Alcohol Reactions,Explain rearrangement during dehydration of alcohol with example.,CH3–CH(OH)–CH2–CH3 → CH3–CH=CH–CH3 + H2O,"During dehydration, carbocation intermediate may rearrange via hydride shift to form a more stable carbocation before forming alkene."
Equilibrium,Basic Concepts,Explain equilibrium shift quantitatively.,Q vs K,Direction and extent of shift determined by comparison of Q and K.
Hydrocarbons,Alkyne Concepts,Why are alkynes nonpolar compounds?,C–C and C–H nearly nonpolar,Most alkynes possess very small bond polarity and low overall dipole moments.
States of Matter,Gas Properties,Why are gas properties explained by kinetic theory?,molecular basis of behavior,Kinetic theory connects microscopic motion to macroscopic properties.
Hydrocarbons,Alkene Reactions,Explain bromination mechanism of alkenes.,C=C + Br2 → vicinal dibromide,Bromination proceeds through cyclic bromonium ion intermediate followed by backside attack of bromide ion.
Thermodynamics,Second Law,Why does gas expansion increase entropy?,more molecular disorder,Molecules spread into larger volume.
Alcohols Phenols Ethers,Phenol Formation,Explain why multiple nitro groups drastically increase rate of phenol formation.,"2,4-dinitro–C6H3Cl + NaOH → 2,4-dinitro–C6H3ONa + NaCl","Multiple electron-withdrawing nitro groups strongly stabilize the Meisenheimer complex, greatly enhancing nucleophilic substitution."
